Date,Open,High,Low,Close,Volume
12/2025,"278.01","288.62","266.95","271.86","923,439,051"
11/2025,"270.42","280.38","265.32","278.85","877,574,804"
10/2025,"255.04","277.32","244.00","270.37","1,097,142,356"
09/2025,"229.25","257.60","225.95","254.63","1,265,536,448"
08/2025,"210.87","235.12","201.50","232.14","1,218,125,297"
07/2025,"206.67","216.23","206.14","207.57","1,079,935,850"
06/2025,"200.28","207.39","195.07","205.17","1,100,504,397"
05/2025,"209.08","214.56","193.25","200.85","1,195,889,540"
04/2025,"219.81","225.19","169.21","212.50","1,607,318,518"
03/2025,"241.79","244.03","208.42","222.13","1,115,306,075"
02/2025,"229.99","250.00","225.70","241.84","862,317,015"
01/2025,"248.93","249.10","219.38","236.00","1,200,291,583"
