Date,Open,High,Low,Close,Volume
01/26/2026,"251.48","256.56","249.80","255.41","55,969,230"
01/23/2026,"247.32","249.41","244.68","248.04","41,688,980"
01/22/2026,"249.20","251.00","248.15","248.35","39,708,340"
01/21/2026,"248.70","251.56","245.18","247.65","54,641,727"
01/20/2026,"252.73","254.79","243.42","246.70","80,267,523"
01/16/2026,"257.90","258.90","254.93","255.53","72,142,766"
01/15/2026,"260.65","261.04","257.05","258.21","39,388,559"
01/14/2026,"259.49","261.82","256.71","259.96","40,019,422"
01/13/2026,"258.72","261.81","258.39","261.05","45,730,848"
01/12/2026,"259.16","261.30","256.80","260.25","45,263,770"
01/09/2026,"259.08","260.21","256.22","259.37","39,996,969"
01/08/2026,"257.02","259.29","255.70","259.04","50,419,340"
01/07/2026,"263.20","263.68","259.81","260.33","48,309,801"
01/06/2026,"267.00","267.55","262.12","262.36","52,352,090"
01/05/2026,"270.64","271.51","266.14","267.26","45,647,191"
01/02/2026,"272.26","277.84","269.00","271.01","37,838,047"
12/31/2025,"273.06","273.68","271.75","271.86","27,293,641"
12/30/2025,"272.81","274.08","272.28","273.08","22,139,619"
12/29/2025,"272.69","274.36","272.35","273.76","23,715,211"
